submissionid,ma_id,48_enforcement_participation
734f31d2-00f7-42da-98f1-9999cf5932f5,173,No
56ab2733-a19d-4a36-9656-35037c41d0d3,173,Yes male
a9d5ce83-227d-49cd-8335-f11732ce8825,173,No
f3cd19c6-ee34-4d65-9b6d-54d6ca6cb024,173,No
87f7f07b-61a8-407c-a435-d9070b6ca970,173,No
93624630-da74-45cd-a660-3ec5034e6c50,173,No
e4256e67-1830-4c7b-8206-700ad2249b06,172,No
724e5c8c-c4e8-4b37-b29b-fd4c7d8217a0,172,No
684d6c3b-f865-4204-a1d8-4f4dc0042626,172,No
da9ea659-85a8-4b99-a64a-91a5207f303c,172,No
9fb26067-8946-41ef-8025-929f0d916a89,172,No
cce0c0c4-325e-408d-be4e-47a57e1a7388,172,No
d3b28e5a-f1da-49f1-976d-07336cbdfc2a,172,No
1e95f433-24f6-488f-ad02-b41204d8406f,172,No
b56797f5-aa93-4082-8926-8b5ac9f94044,172,No
b766702d-1ecc-488f-822a-b140416ed567,172,No
a6e075c4-3ee7-4c42-911b-11139c422014,172,No
0f149da3-7172-4f72-8903-71fc7f2fbf34,165,Yes male
9f75369c-2858-4678-95c5-5a852d744c73,171,No
9ed76cba-7f72-443d-8639-b6a4f0522b09,171,No
03dd3cfe-be9d-461b-b91d-62e95d61d730,171,No
06a89519-10f8-44c7-b0be-17ca47976548,171,No
1f8c220e-e48f-4c5c-9965-08257b8e0780,165,No
447c0e71-171a-4482-bade-2ce3014c26d1,171,No
9904d34e-21df-47a3-8fa0-fba2360bbf20,171,No
60911293-344f-4c97-98c8-df63e5127f69,171,No
4a617a41-3590-456e-9855-bb79d66f6e3f,165,No
d569f862-861a-47d5-bc4e-bb1e38533055,171,No
2fa52694-8a5d-4510-b78b-673e4b80af39,171,No
72dac407-3ac2-4d7b-953b-28d8fb8b2f12,171,No
78da2675-a8ef-4e1f-b231-e9447cc90e6d,171,No
6654da72-0aa4-46cd-a245-257226b58644,165,No enforcement system
fef0aac5-c2f1-43eb-acdf-3e688d4eb72b,171,No
89dc5871-4bd6-4573-87ec-26ce26cc54bc,171,No
438fd68b-3dde-47dc-a30d-19bb13351c10,171,No
cdf35615-e567-4505-acb5-4b9a052a7e3f,165,No
b22141ed-32f6-4464-a4f5-88d117870af8,165,No
9e798e9e-78d5-4db6-8d3d-6fc9acc1813a,171,No
9085dba2-052f-40d4-b3a2-f42eb23873e4,171,No
13973882-0486-4bdb-a1cd-5dc083d65a26,165,No
aed72868-05a5-4cbf-bcb5-45b686e7f7a6,165,No
45688143-34e5-4831-8ace-4862d93e7fbb,165,Yes male
4d55b9bc-4591-4d63-a559-6d640bab4ed0,165,No enforcement system
5c471734-1464-4ca9-b4fc-0e2f7975606c,161,No
de742ae7-0752-4797-bbb8-f70b2ac4d7f5,165,No
c425c254-b77b-4661-a9e4-ff7d4ff869b6,165,No enforcement system
5f548fd1-7c60-41ac-9dde-d6d8ad79e82f,165,No
81a53806-5254-48e4-8233-c9b1de1535d4,165,No enforcement system
09d89959-6a13-48ad-9ab8-5a17a47d6909,165,No
e58e0e18-8a35-43af-8757-b4b8382792b2,164,Yes male
4dda9e3e-7cf8-414d-b6a3-34f1ccf984b9,164,No
5b0e88e2-c542-44c0-9e7b-e4595900ad22,164,No
99784f7a-6f20-4433-9df0-24287acd0329,164,No
55c86ed8-94cb-47ba-9d30-cd5cf04049bf,164,No
3223755d-0d17-4d67-beb4-58e90346d1c1,164,No
6923d2de-0e8c-44c3-8b9f-549bae3d5dcc,164,No
835bc408-93a2-494a-ba62-82d507836026,164,No
1e10eae9-e408-45f4-a601-a03fcd1cd7ba,173,No
ca4c3a37-af67-4169-945d-d04e32d1f05b,173,No
9c6993e4-35ff-42f7-9e5a-13a538f7d3f1,173,No
c6255575-478c-4a02-992e-d7d7f1e96b75,173,No
921d5c84-fb1d-472d-a630-7e1735a37969,173,No
530caa42-b5b4-4312-aa7e-471f5d16f767,173,No
d8987a53-86bb-4ed2-b03d-ef112201858d,173,No
9786154c-90a4-49d9-811d-e3b18a9e4a20,173,No
ec60defa-8241-4ddb-bb71-5852aa34f42e,173,No
1f0bb365-fd94-4028-a638-4a9fcbcaa78e,173,No
7c17b8f3-6e5d-4b36-9530-0dd025d990bb,173,Not sure
aa5bf337-4e17-49a0-b614-d263a91e55c0,173,No
229f2831-ecd2-4978-bd17-8d764b2a6587,173,No
4dc3217a-cc87-4109-9076-1e319a39f5d2,172,No
b4fd218d-dcf5-4aaa-96e6-fb5a911d477c,172,No
45007b46-cef1-4ee7-b4c6-47bc8be6c8c1,172,No
790b94e1-934e-4da3-a130-648f8230e9af,172,No
a6a92a87-f013-4c9f-9d61-b5e9480edc0c,172,No
6a6a63e4-68a0-4119-9545-2c8bf5bf8068,172,No
78631a77-41ff-4df0-b176-5b537a81f421,172,No
a6498338-7ab4-450c-9b29-64d93667aead,172,No
023e9e8e-843f-4f77-8998-2a7e36e28deb,172,No
13cd43b3-8f40-493a-b448-9902ca8d6b9f,172,No
2b2c7ee1-09b0-4a02-b6b2-db74d7c5c8de,172,No
cc0afc64-450d-4876-89eb-fe77d8f96aae,172,Yes male
4999f352-1535-40cf-a959-bb2c32340b1e,172,No
f5f08e01-56f9-4db0-8eb0-4f26f98510b2,171,No
9abf306d-04c0-4341-b3e1-ca9a06bb37e3,171,No
2428ef70-1df7-401a-a87a-2fcc5758a0b0,171,No
55ad2cef-37be-48cb-a689-4bb1547a22f3,171,No
3cc3d3bd-3198-4820-af4f-3e50cb440f1a,171,No
6576d8a2-88c9-44cb-b1b3-03aa541e9235,171,No
ac85e546-699d-4c31-85ce-0540db1f3074,171,No
2dd81100-25a9-40f5-a12f-e81ffd936406,171,No
a08d3bab-11d1-41fe-a127-db77b9f6374e,171,No
0685631b-f760-4171-bd94-d3d5443921a3,165,No
43d45379-a4d3-46a3-bde9-7973a73eebba,171,No
e8168fb9-eb70-4346-8f76-b6ab095595c5,171,No
f894054f-8194-42ba-9afd-1d3b5d4c68a7,165,No
1cb9044c-7ccb-44a8-a0a0-a83c62df5b44,165,No enforcement system
75590115-3087-4812-9f9a-7050d61d05f2,165,No enforcement system
999fa2e7-cee8-4332-9099-8d2f43a5f54c,165,No
1ea92d14-d014-4c58-80f6-08f4a242ad9f,165,No
c2b933c6-57ab-4344-8bfd-1f3b0cbcf2a1,165,No
9c3056ad-e944-42f5-b32f-1b962bc8a538,165,No
ed957971-cfe1-4b79-bbb8-9cfb563a9f27,165,No
b1a84939-f9bc-49a0-9fc2-cddf1a570842,165,No
2228f5d2-a188-47e7-b575-6f6fb53f9df5,165,No enforcement system
65f41e9f-e84b-4765-bde6-34eb082c06ef,165,No enforcement system
1f755d17-877b-4062-9d28-1813019bf50d,165,No enforcement system
8893d5bf-7326-401e-bb32-4d555b55f14e,165,No enforcement system
1b3458da-0262-4582-aeea-1fefaac03dab,165,No
47e73fe8-c240-41d0-bac5-ca1147220d8d,165,No
ce3bd8fc-1b85-4f03-bbf9-4934c5e38cda,165,No
8627c2d8-36db-4634-b56a-44c04ab1ac15,164,No
f4e091e9-d705-4bac-8171-211f70a128c4,164,No
b99c2700-17d9-45f9-a512-be4c11e01d82,164,No
5cc68d71-595e-42c6-97f1-f30ae6ce4afb,164,No
f124ae80-765d-4f8f-807f-ea9349d7ec55,164,No
30230b79-332c-4fbe-94b7-21e275d98876,164,No
e9402efe-7cd3-4c94-b801-ecac35f5672e,164,No
c6edcda0-fc55-4491-876c-78bf295486de,164,No
96fe3103-d128-46ba-a1c7-1ac87dbb335e,164,No
919e9c96-3d5d-4295-a826-d1dab17edeb7,164,No enforcement system
9cccf170-476b-427d-aaba-6d344ee4d025,164,No
aee0943f-9939-4215-a9df-9cbd2a32b22b,173,No
9fa0acd1-ace5-4bb5-9ba6-aca5441c571c,173,No
fa9e851d-dee0-4f00-add7-ada10c340f99,173,No
5117e153-ca03-45bd-a077-a98b0a7d0cbb,173,No
f6e19cdb-5641-4f8d-b59f-39260f8e6e6f,173,No
4f0a4273-f597-45fb-9e83-57c91217976b,173,No
9d4eed4b-ad14-4f32-8a5f-f107b3619ecb,173,No
994f92ba-fe20-42c1-a239-134918fd3cd1,173,No
6c2eb43c-3277-4373-830a-efd7af0d40d3,173,No
1fc548d9-423e-4259-9efc-bc814647de90,173,No
c14efdd8-133e-450e-b960-e464e20fbe18,173,No
b315fb23-f6f5-4241-9622-deb6a56aa5e0,173,No
22d40e5b-fc91-4f92-9c0b-ea521b820627,172,No
0470c1d7-20de-4eac-8a3a-11ba29f95044,172,No
271005c6-d24c-4bfa-afd1-94a37731d711,172,Yes male
d8e326ec-51e3-42f7-aa58-483570e4f151,172,Not sure
7f116504-b520-4cea-8152-d939f3fe55c0,172,No
0476ba26-92dc-4e35-aa9d-5e65c7fef40a,172,No
4efbdfe5-7880-4de1-b88a-a2c4a366e99d,172,Yes male
dafce268-f6ee-4aa5-ac85-6de64f022b30,172,No
4392b5ed-13ef-429b-9261-6008af24083d,165,No
41dd292e-f099-4490-a82c-a29bbdd9d350,171,No
b7897ca4-4dba-4924-a1c1-e60aca437676,171,Yes male
09ea2ee6-db6d-4520-87b4-e0fcc9726918,171,Yes female
98f4d646-4af0-4125-a881-1fb1c8d52ec0,171,No
c3861ef5-731a-4b78-89c9-6c28fd7ad37a,171,No
34fcc522-909a-476b-8cc3-23f469b3e26b,171,No
005c4863-fd79-4417-9aa9-ce36037741f4,171,No enforcement system
0237e442-d57a-467f-be06-d4eb625568c2,171,No
d157df9c-309f-4aa8-a2c2-84c4b5416ddc,165,No
1a547b57-05f3-48fc-b6a4-2014112db5e2,171,No
ee97aac9-e7a5-43a0-9715-6932a26ff74c,171,No
493216dd-3966-4b3a-8c91-d7602e2e270b,171,No
14912652-5fcf-4599-9ed7-0cae0ba2eb11,171,No
5baea77d-fa22-4f26-9a31-62b82eea7511,171,No
afba3eb7-5649-4954-acae-476aaa25852d,171,No
9eb6220b-d06e-411b-9344-ad07379f4f69,171,No
674bf13b-00e5-48b9-9a07-bcb766108ff1,171,No
842c07e1-2bea-4813-93be-e4c0b9342607,171,No
fb25f487-017b-4aa8-928d-f0d7d877e311,165,No
9e466c62-c643-4f84-b763-53594f533e4d,165,Not sure
9c6ba031-58bb-48ff-a386-1519e23e9caa,165,No
f737e13d-93d5-49ef-bb08-a04d4290a99c,165,No
dada7637-ee94-4a04-8f44-8739555a333a,165,No
71aa6388-ebcb-43d5-99d9-fded79f7b67d,165,No
a28d0571-d8a3-4c68-beb6-4b8a72f64aab,165,No
028d8d59-c4d9-48ec-a698-4aee0496ba6d,165,No enforcement system
89b213d8-8b1e-4ce1-9f71-d221b36d20c9,165,No
2f655cc9-f67f-4679-8325-7de55bf04ff0,164,No
dc23a08b-3ae8-4a2b-874b-311144c1cc7c,164,No
3a6d34d4-1611-4b53-91cb-6eb698ab2552,164,No
