submissionid,ma_id,69_fish_type,69_street,69_customer_home,69_market,69_shop,69_fishing_company,69_restaurant,69_own_home,69_other
31ebd157-4420-4063-8cfe-a4fae1171481,165,caranguejo(unidade),,,,,,,1,
8fec19c0-db04-433d-982f-b35bd903b5ba,165,Bagre,,,,,,,8,
9d598676-3211-409d-9a6e-fba0d53de40d,165,Caranguejo (saca),100,,,,,,,
8ae954cd-d9da-4c8e-945d-d9f811dc88e5,165,,,,,,,,,
b09b9967-a91b-406d-902a-7bc3ee65b7e4,165,pescada,,,,,,,10,
e6e0ff2b-82c5-4ccb-b6b7-e87175016335,165,Bagre,,,,,,,,
9b47bea8-3029-4907-b092-5373806a59e3,165,peixe Pedra,,,,,,,,
1e3f0662-5e5b-4733-8f6d-0d4584da9e92,165,piaba,,,,,,,,
79395872-d92e-42ac-a683-6f05443df61a,165,caranguejo ,,,,,,,,
d0c27ca5-ec69-43e8-9be8-e65bf268b651,165,caranguejo ,,,,,,,,
a8170e5d-4b41-439f-946f-401eba91325f,165,piramutaba,,,,,,,1,
4f68edd1-af8b-4ca3-ba9f-768cda438976,165,pescada,,,,,10,,,
d1180f66-80b8-45e9-9149-8e1316159390,165,dourada ,,,,,8,,,
a9b9d728-9f4d-4ef8-ba32-fa05eaf2a666,165,camarao,,,,,,,,210
9c3056ad-e944-42f5-b32f-1b962bc8a538,165,camarao,,,,,,,,12
f5f3b5e5-a16b-4a94-a1de-82317c961b55,165,,,,,,,,,
2228f5d2-a188-47e7-b575-6f6fb53f9df5,165,camurim,,,,,,,,7
14426a0e-31cf-4e3c-bab8-a8b8ce7cee43,165,peixe bagre,,5,,,,,,
14426a0e-31cf-4e3c-bab8-a8b8ce7cee43,165,peixe pratiqueira ,,8,,,,,,
5b6bc2f0-b2b6-44e0-b02b-2ebf62e34968,165,camarão,,,,,,,,
435c762d-ff2d-4245-b125-720c9c040710,165,,,,,,,,,
84f56038-0264-4598-b75a-fed1908501f5,165,,,,,,,,,
d6884894-997c-496c-a929-594caa374700,165,gó ,,,,,,,,
4b67d0ee-4405-4135-982d-2d3dd1b5d222,165,pescada amarela,,,,,,,,8
a28d0571-d8a3-4c68-beb6-4b8a72f64aab,165,pratiqueira,,,,,,,,
66e266a2-3425-46b0-b818-4dcecbc37b90,165,gó,,,,,,,6,
36193282-d54c-478e-abf9-61f889635f7c,165,piramutaba,,,,,,,5,
773f32ac-d4e3-4d7a-8d66-3eea10fbe9ae,165,camarão (cozido),,,,,20,,,
ae133d52-29d5-4b5d-8a40-f28123b3628f,165,camarão,,,,,6,,,17
7da651b2-49d5-40ee-8a47-70e2812fc398,165,,,,,,,,,
89b213d8-8b1e-4ce1-9f71-d221b36d20c9,165,peixe,5,,,,,,,
976fdee5-3b59-4bd1-b080-60a7f664e567,161,tainha,,,,,,,,
825c9f7a-d5b4-47fa-aefd-e81cd71feadf,161,pescada,,,,,,,,
72c1f239-4931-4343-8ef7-97ac015da2e8,161,tainha,,,,,,,,
71cd74d5-f7d3-4e75-a96c-710d37ad3750,161,,,,,,,,,
6d04369c-e870-4265-862f-2f0babc7fb72,161,"caranguejo,  atravessador ",,,,,,,,5
98a06631-17cb-4b3b-8d0f-ae6acdc342fd,161,"peixe, marreteiro",,,,,,,,8
71b0c27b-45f1-4e55-becf-cd0607ec71d7,161,"peixe, marreteiro",,,,,,,,7
da192302-2191-4ff0-9929-31f1516ccea8,161,0,0,0,0,0,0,0,0,0
c99e4730-0605-4218-9569-4cceee1010ee,161,caranguejo ,,,,,14,,,
9872f69a-b460-489e-ace5-fcddaa6979f8,161,caica,,,,,,,,6
65232321-e353-4275-b86a-246e60db4bd5,161,peixe pedra,,6,,,,,,
5b22fcc3-1fbc-4a62-ad6e-f7015a79b3e6,161,,,,,,,,,
a43cd61c-792b-463a-b65d-a6a7db694622,161,sururu,,,,,,,15,
0d26464a-b440-427d-a8c0-51279d2672f5,161,caranguejo (vende a massa e pata),,,,,,,,15
eb026ee0-7f7e-477c-8b4f-84927d491d23,161,,,,,,,,,
be645014-e362-4cb3-be84-9c0a1857976d,161,caranguejo 7 cm,,,,,,,,
8f6d1bfd-af4f-414d-baf2-032dcdfee3d4,161,,,,,,,,,
16c0c744-24db-453e-b974-7cd7bfcdb591,161,,,,,,,,,
f0b88cd1-001a-4564-934f-c2cb7ab0849a,161,pescada ,,,,,,,,
e2e7aee4-d18f-4218-a306-bb7f7550f6bf,161,pargo,,,,,,,,2
fcc3dbaa-c315-4575-855f-2bb91694bdfb,161,bagre ,,,,,,,,
399af711-70d5-4963-ba4d-7878be492111,164,caranguejo,,,,,,,,
55777015-88a3-4270-91f8-2c4d7bd35fed,164,peixe bagre,,,,,,,,
a462437a-2481-40ab-bafc-764ef379f8aa,164,caranguejo (peira),,,,,,,,
02294751-6876-4c96-a07d-945ae85f4150,164,uriacica,,,,,3,,,
f85eb822-408c-458f-b443-1b6835b4c492,164,,,,,,,,,
6c3b932e-ffc7-4f03-b0d2-5e32b6794a13,164,peixe pacamu,,,,,,,,
8b1d0716-e743-4497-b0f2-66ee2b99f929,164,,,,,,,,,
8248bfaa-2d38-45b4-b329-789e0bf29019,164,pescadinha,,,,,,,,
bded8a50-1d7e-42c3-84a3-7efdf7e7ce60,164,Tainha,6,,,,,,,
7b1bd489-69ca-4b1a-bf36-0bfb98f915ba,164,centro de caranguejo,,,,,,,,100
c6485d90-ecef-4e5c-afe7-71c7cac7e234,164,corvina,,,,,7,,,
6fa53c66-c5e1-44e1-8cf5-84a03ff934dd,164,caica,,,,,,,8,
e1bc2a09-3996-4754-a23a-b62f5769cbe4,164,corvina,,,,,,,,
e58e0e18-8a35-43af-8757-b4b8382792b2,164,peixe ,,,,,,,5,
48149029-6a9b-4959-afb8-5bf1e1e25636,164,bandeirado,,,,,,,,
1fd384b0-3cbf-4da2-b5ce-d947b37d587e,164,caranguejo,,,,,,,,5
36d32de2-1ef6-4891-b9cb-3ce88b7f0843,164,Bandeirado,,,,,,,,6
36d32de2-1ef6-4891-b9cb-3ce88b7f0843,164,Bagre,,,,,,,,6
1780a70f-cd6a-459c-a89d-5a87c8f36902,164,caranguejo,,,,,,,,30
a7fbbbbf-5220-4a03-b696-fffaf4e3554f,164,massa do caranguejo,,,,,,,,45
f5033f3f-46eb-490a-99af-c6741006de53,164,(para o patrao) pescada amarela,,,,,,,,
b80216ef-affb-45de-b79e-92b981d5c4a4,164,camarão (cozido),,,,,,,,
6cb296c3-0e62-4f2f-aa04-bd1c238be8d6,164,camarão,,,,16,,,,
7424ca4e-fcfb-4052-83ef-3a34a0369ae9,164,,,,,,,,,
e50826fb-667f-4c1c-b065-b182efce7d37,164,,,,,,,,,
e4d228ee-233a-4610-a48b-a9f98a910a95,164,ouriacica,,,,,,,,
6f9e3f4c-f9af-4942-8540-7904016facfb,164,pescada,,,,,,,,
d81e40d5-8a15-45b2-96b6-54a6a256720d,164,go,,,,,,,,
89d57ed9-4fd6-4c0f-a0cf-84fff6bdc29b,164,go,,,,,,,,
89d57ed9-4fd6-4c0f-a0cf-84fff6bdc29b,164,bandeirado,,,,,,,,
2f698c12-b6c2-445f-908c-0b60b80ab913,164,caranguejo,,,,,,,,20
cdd9d088-3f70-4688-8a08-b7c86eacbf50,164,,,,,,,,,
bfd9f6fb-b386-40e0-b96c-5e4afdc7865c,164,caranguejo,,,,,,,7,
2d8d222a-ec8e-4922-9c93-491466acf91e,164,bagre,,,5,,,,,
2002db9e-7a0a-4dee-acee-ba1b97e56981,164,bagre,1,,,,,,5,
1e10eae9-e408-45f4-a601-a03fcd1cd7ba,173,peixe pescada,,,,,,,,
53dbc7a2-3686-4f8e-820a-10a6cf82f652,173,cachorro do padre,,,7,,,,,
5ac440f9-360d-4287-9adf-b5f4d4585381,173,bagre,,,,,,,,
6d772c98-15fd-49c7-a04f-d2866e67e451,173,Tamuatá,,,,,,,,5
77d9e2c5-d733-452c-823d-3f17334b464a,173,traira,,,,,,,,5
dc86201f-468e-4a8c-a5b2-a4b7a8018ec4,173,Traira,,,,,,,,5
861cccff-75d9-4cdc-abac-0e5814916f62,173,camarao pitu,5,,,,,,,
0981048b-023a-4a89-bb82-e1bd3b7b8c94,173,traira,4,,,,,,,
acc56eb2-6691-4d31-894f-41fd6e60dbf3,173,camarao,,,,,,,,5
93d358cb-2a36-4d6f-aa4e-a8b04d36df22,173,caranguejo unidade ,,,,,1,,,
f28b317d-a3cb-49d0-b2b9-7b3de190cddb,173,camarão,,,,,3,,,
ec60defa-8241-4ddb-bb71-5852aa34f42e,173,filhote ,13,,,,,,,
9c8f2cb1-6520-42d7-922d-0f4dfcf8d841,173,,,,,,,,,
1ce1f099-17d7-4617-8e16-b3486d3861a0,173,Tamata,,,,,,,,
755cc54f-a6e6-415c-8228-675af68d601b,173,bacu,4,0,0,0,0,0,0,0
0ffd6434-aa7c-4604-98e3-da8ab9887d00,173,peixe,,,,,,,,6
ff025c4a-03c6-4b43-8e58-87a12afe2b7f,173,pescada,10,0,0,0,0,0,0,0
3d10dfe1-24b1-4e40-8e61-378ffed5d28e,173,massa carangueijo,,,,,,60,,
1fc548d9-423e-4259-9efc-bc814647de90,173,pratiqueira,,,,,,,4,
967a8342-1d3c-4f8c-9c43-53ecbf96b23f,173,peixe traíra,,,,,,,,
29f59fd6-9bfe-4e44-ac58-cab328a0e6c7,173,peixe tucunaré,,,,,,,,
a8037b09-9814-4a2f-a517-415ef27a90e9,173,peixe bagre(inteiro),20,,,,,,,
c046b9dd-70a2-4e4f-9316-4b77f9f11380,173,pescada branca,,,,,,,,6
93624630-da74-45cd-a660-3ec5034e6c50,173,bagre,4,0,0,0,0,0,0,0
f992d028-a103-4794-95cb-c072918d92d7,173,trairar,5,0,0,0,0,0,0,
bcfe2eb1-654e-4fd1-a295-db8e683819a8,173,dourada,,,,,,,,
658f5e29-009b-4674-bc5a-91782f9b1438,173,bagre,5,,,,,,,
2c4b70d7-0b98-4fed-b21e-30bb08a0cd3f,303,caribean,,,,,60,,,
a3f6b823-9588-481c-9a3e-bc10d945cc92,172,,,,,,,,,
85218d6c-7e5e-4b7e-ba89-7c634a09d8fd,172,Tainha,,,,,,5,,
85218d6c-7e5e-4b7e-ba89-7c634a09d8fd,172,pescada,,,,,,,,
c8b233bc-059a-4846-bc5e-850fbf0d71cb,172,siri(saca),,,,,,,70,
89f534eb-4a0c-41ad-a71c-6147d0bb87ee,172,caragueijo ( saco),,,,,,,,
e5db4617-8321-4d0b-b474-3635ee478200,172,,,,,,,,,
c13cd56a-b540-40c0-b966-3efab4e8821b,172,caranguejo (saca),100,,,,,,,
7c994999-14f1-4879-a18a-651d7dc938df,172,piramutaba,,,,,,,,5
df2214d7-fa65-417e-9a7e-a83a7f46297a,172,caranguejo (centro),,,,,,,80,
ae69c40f-52fd-470b-bfcc-518d4bc260c1,172,pratiqueira,,,,,,,9,
dd3f83c0-50ac-4072-b9b2-0dce57dd8163,165,Corvina,,,,,,,5,
b7897ca4-4dba-4924-a1c1-e60aca437676,171,Caranguejo (saca),,,,,,,,
cf7d905c-1886-437e-a873-2f527d3d9c8b,165,Bagre,,,,,,,5,
5b7843fe-06cb-4d16-9db7-227d436239e9,165,,,,,,,,,
e90b7d19-2363-449f-ac14-8ddaed23b978,171,,,,,,,,,80
98f4d646-4af0-4125-a881-1fb1c8d52ec0,171,,,,,,,,,
716dd5db-22d4-4702-a229-da4611827fbc,171,peixe,,,,,,,,4
92f50bd7-7d95-4540-a371-04101a978128,165,Piramutaba,,,,,,,,5
d8f98769-9207-4a33-9b57-7d64ccfb74c2,165,Camarão,,,,,,,,20
