country,level1_name,level2_name,level3_name,level4_name,level4_id,lat,lon,ma_name,3_community,submissionid,48_enforcement_participation
PHL,Caraga,Surigao del Norte,Dapa,Corregidor,1744,9.710442,126.057937,SDN_Dapa,Corregidor,424141cf-722f-4f11-ac01-be742d27235d,No
PHL,Caraga,Surigao del Norte,Dapa,Corregidor,1744,9.710442,126.057937,SDN_Dapa,Corregidor,424141cf-722f-4f11-ac01-be742d27235d,No
PHL,Caraga,Surigao del Norte,Dapa,Corregidor,1744,9.710442,126.057937,SDN_Dapa,Corregidor,424141cf-722f-4f11-ac01-be742d27235d,No
PHL,Caraga,Surigao del Norte,Dapa,Corregidor,1744,9.710442,126.057937,SDN_Dapa,Corregidor,424141cf-722f-4f11-ac01-be742d27235d,No
PHL,Caraga,Surigao del Norte,Pilar Siargao,Consolacion,2280,9.901661,126.085502,SDN_Pilar,Consolacion,b0d1cad5-42fa-4c0b-ad8d-cac22f9d9ca5,No
PHL,Caraga,Surigao del Norte,Pilar Siargao,Consolacion,2280,9.901661,126.085502,SDN_Pilar,Consolacion,b0d1cad5-42fa-4c0b-ad8d-cac22f9d9ca5,No
PHL,Caraga,Surigao del Norte,Pilar Siargao,Consolacion,2280,9.901661,126.085502,SDN_Pilar,Consolacion,b0d1cad5-42fa-4c0b-ad8d-cac22f9d9ca5,No
PHL,Caraga,Surigao del Norte,Pilar Siargao,Consolacion,2280,9.901661,126.085502,SDN_Pilar,Consolacion,d1ef42c8-6f83-43cd-8af1-2e26ac80f96d,No
PHL,Caraga,Surigao del Norte,Pilar Siargao,Consolacion,2280,9.901661,126.085502,SDN_Pilar,Consolacion,d1ef42c8-6f83-43cd-8af1-2e26ac80f96d,No
PHL,Caraga,Surigao del Norte,Pilar Siargao,Consolacion,2280,9.901661,126.085502,SDN_Pilar,Consolacion,d1ef42c8-6f83-43cd-8af1-2e26ac80f96d,No
PHL,Western Visayas,Antique,Pandan,Baybay,2038,11.718414,122.09278,Antique_Pandan,Baybay,941b3e65-32f6-4083-b0e8-e4adf452023e,No
PHL,Western Visayas,Antique,Pandan,Baybay,2038,11.718414,122.09278,Antique_Pandan,Baybay,65040496-32a9-4684-9727-f001f5693905,No
PHL,Western Visayas,Antique,Pandan,Baybay,2038,11.718414,122.09278,Antique_Pandan,Baybay,7263cae4-d279-4279-80d6-efe8eac617b9,Yes female
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,67448870-cebb-4b48-a649-79042a38ea29,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,2c9af408-d04f-49e8-9a68-6902093ff296,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,9cca199d-4ce6-4c1b-814f-65399b554608,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,ed07d642-b64d-4e88-b151-672d2532f5b7,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,fdd02453-6de6-4f39-9b25-c9babc8409f0,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,f7487a86-606b-42fc-860e-009d83bd1699,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,152b34e5-2c69-4867-828c-c11211c36749,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,3ea908e2-6c13-4be1-8ab3-a5a533d900d7,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,a738a23c-2c59-47e4-8377-c38beb589642,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,08bd5e53-18d2-41e6-87b5-c918c8d20c41,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,252d4430-3e46-4ec3-941d-5f993115eb0d,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,9c8eeb4b-7daf-4e15-a0cf-8524d60810ea,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,f7cb4177-393f-496d-9113-d5aca8ac759e,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,4d2264be-f0cf-4498-a0db-37b6b1c42135,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,97d41b4d-025a-4cc0-ae48-8db45c691cf9,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,7639b7e4-64ac-4c04-b23f-b8cbe473a518,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,42fe9ac2-4c79-40a5-a1fb-34598ba206aa,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,6f0e7dc7-f335-4b49-8334-eef151e7463a,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,989d9f6c-845b-40eb-9afe-17067bf83f0a,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,a3fabf31-d8e6-4700-9959-4105a4362321,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,b70802a7-541d-4bea-9d7c-281cac4201fb,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,cf7e7c81-0f2a-4235-b1ba-6cbb3767caf6,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,8d770397-81f5-442d-9a36-4cad1dfe623f,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,cbef1bfd-eede-499e-b039-50c1c4db9005,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,883aba30-53a0-4988-9a05-4ad84b5832a8,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,dc0b2418-f183-402b-82c6-04652ad8bb82,No
HND,Cortés,Puerto Cortés,,Bajamar,466,15.886674,-87.859082,Puerto Cortés,Bajamar,afee9bc5-bc08-49e9-af51-bbe65bb1d266,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,e40c17b5-51d4-4c84-be94-34e462857f98,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,f4b2cb25-d2ac-4840-bdcd-71c6bdbde7d3,No
HND,Cortés,Puerto Cortés,,Bajamar,466,15.886674,-87.859082,Puerto Cortés,Bajamar,e42955a3-2d84-4ab3-a1de-cf4205345bd0,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,7a0336c2-f406-4308-a848-4483fb903969,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,a1e43cdb-facb-48aa-aa95-02a25d212516,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,8f523775-3779-49a0-92e6-dcbd3f35f1e1,No
