country,level1_name,level2_name,level3_name,level4_name,level4_id,lat,lon,ma_name,3_community,submissionid,45_leadership_position
PHL,Caraga,Surigao del Norte,General Luna,Poblacion I (Purok I),1780,9.779521,126.144501,SDN_GL,Poblacion I (Purok I),bd839d1c-8eb8-4637-8c80-d1f303b80d8b,No
PHL,Caraga,Surigao del Norte,General Luna,Poblacion I (Purok I),1780,9.779521,126.144501,SDN_GL,Poblacion I (Purok I),bd839d1c-8eb8-4637-8c80-d1f303b80d8b,No
PHL,Caraga,Surigao del Norte,General Luna,Poblacion I (Purok I),1780,9.779521,126.144501,SDN_GL,Poblacion I (Purok I),3ac3912e-1fb4-4347-8c6d-adee6bae04c7,No
PHL,Caraga,Surigao del Norte,General Luna,Poblacion I (Purok I),1780,9.779521,126.144501,SDN_GL,Poblacion I (Purok I),3ac3912e-1fb4-4347-8c6d-adee6bae04c7,No
PHL,Caraga,Surigao del Norte,General Luna,Poblacion I (Purok I),1780,9.779521,126.144501,SDN_GL,Poblacion I (Purok I),3ac3912e-1fb4-4347-8c6d-adee6bae04c7,No
PHL,Caraga,Surigao del Norte,General Luna,Malinao,1779,9.782405,126.128648,SDN_GL,Malinao,f2627ee0-cbf5-4d13-b027-25548e12753f,No
PHL,Caraga,Surigao del Norte,General Luna,Malinao,1779,9.782405,126.128648,SDN_GL,Malinao,f2627ee0-cbf5-4d13-b027-25548e12753f,No
PHL,Caraga,Surigao del Norte,General Luna,Malinao,1779,9.782405,126.128648,SDN_GL,Malinao,f2627ee0-cbf5-4d13-b027-25548e12753f,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,86c30e2b-6083-49b9-a38b-7f4a82aad7a0,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,86c30e2b-6083-49b9-a38b-7f4a82aad7a0,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,86c30e2b-6083-49b9-a38b-7f4a82aad7a0,No
PHL,Caraga,Surigao del Norte,General Luna,Poblacion I (Purok I),1780,9.779521,126.144501,SDN_GL,Poblacion I (Purok I),8f5a6f95-6bfa-43e0-a8d3-708696ddf62a,No
PHL,Caraga,Surigao del Norte,General Luna,Poblacion I (Purok I),1780,9.779521,126.144501,SDN_GL,Poblacion I (Purok I),8f5a6f95-6bfa-43e0-a8d3-708696ddf62a,No
PHL,Caraga,Surigao del Norte,General Luna,Poblacion I (Purok I),1780,9.779521,126.144501,SDN_GL,Poblacion I (Purok I),8f5a6f95-6bfa-43e0-a8d3-708696ddf62a,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,d4337d1f-20fd-46cb-ac4c-86d6b699e4c2,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,d4337d1f-20fd-46cb-ac4c-86d6b699e4c2,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,d4337d1f-20fd-46cb-ac4c-86d6b699e4c2,No
